,name,github_id,category,show,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,projectrank_placing,new_addition,dependent_project_count,github_dependent_project_count
0,google/deepvariant,google/deepvariant,variant-calling,True,https://github.com/google/deepvariant,https://github.com/google/deepvariant,BSD-3-Clause,2017-11-23 01:56:22,2024-01-26 20:28:01,2023-12-09 00:22:24,2360,1.0,680,164,60.0,5.0,704,3014,2023-10-23 21:02:38,1.6.0,4701.0,63.0,20.0,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA..,28.0,23,3,,,
1,OpenGene/fastp,OpenGene/fastp,fastq-qc,True,https://github.com/OpenGene/fastp,https://github.com/OpenGene/fastp,MIT,2017-10-31 04:36:58,2024-02-06 06:40:26,2023-05-31 01:20:33,444,,315,50,57.0,311.0,176,1690,2023-05-30 11:53:09,0.23.4,,,41.0,An ultra-fast all-in-one FASTQ preprocessor (QC/adapters/trimming/filtering/splitting/merging...).,26.0,20,3,,,
2,broadinstitute/gatk,broadinstitute/gatk,variant-calling,True,https://github.com/broadinstitute/gatk,https://github.com/broadinstitute/gatk,,2014-12-02 20:50:36,2024-02-07 23:40:43,2024-02-07 18:50:06,4644,26.0,551,159,4188.0,1171.0,3310,1558,2023-12-13 22:53:56,4.5.0.0,562345.0,7029.0,50.0,Official code repository for GATK versions 4 and up.,127.0,25,1,,,
3,samtools/samtools,samtools/samtools,bam-related,True,https://github.com/samtools/samtools,https://github.com/samtools/samtools,,2012-03-09 02:49:58,2024-02-07 09:27:05,2024-02-07 06:49:45,2640,34.0,547,102,777.0,168.0,1024,1505,2024-01-24 12:34:52,1.19.2,1397312.0,12938.0,24.0,Tools (written in C using htslib) for manipulating next-generation sequencing data.,93.0,25,1,,,
4,lh3/bwa,lh3/bwa,read-alignment,True,https://github.com/lh3/bwa,https://github.com/lh3/bwa,GPL-3.0,2011-01-14 01:36:33,2023-04-26 08:12:19,2022-09-22 23:52:12,967,,507,106,125.0,182.0,103,1403,2017-10-23 17:12:23,0.7.17,104512.0,1088.0,4.0,Burrow-Wheeler Aligner for short-read alignment (see minimap2 for long-read alignment).,33.0,19,3,,,
5,arq5x/bedtools2,arq5x/bedtools2,bed-related,True,https://github.com/arq5x/bedtools2,https://github.com/arq5x/bedtools2,MIT,2013-12-09 21:18:03,2024-01-04 04:48:42,2023-11-07 23:23:24,2139,,279,58,266.0,211.0,602,881,2023-11-07 23:37:36,2.31.1,970903.0,7958.0,23.0,bedtools - the swiss army knife for genome arithmetic.,93.0,24,1,,,
6,brentp/mosdepth,brentp/mosdepth,bam-related,True,https://github.com/brentp/mosdepth,https://github.com/brentp/mosdepth,MIT,2017-08-24 16:32:11,2023-11-22 07:41:33,2023-11-22 07:41:07,222,3.0,99,23,24.0,49.0,148,626,2023-11-22 07:44:33,0.3.6,301015.0,3859.0,25.0,"fast BAM/CRAM depth calculation for WGS, exome, or targeted sequencing.",16.0,19,3,,,
7,BenLangmead/bowtie2,BenLangmead/bowtie2,read-alignment,True,https://github.com/BenLangmead/bowtie2,https://github.com/BenLangmead/bowtie2,GPL-3.0,2012-12-20 19:25:11,2024-01-20 23:20:22,2024-01-17 00:01:39,2616,14.0,159,30,63.0,136.0,264,601,2024-01-17 03:50:49,2.5.3,70601.0,685.0,28.0,A fast and sensitive gapped read aligner.,38.0,23,1,True,,
8,samtools/bcftools,samtools/bcftools,vcf-related,True,https://github.com/samtools/bcftools,https://github.com/samtools/bcftools,,2013-07-12 12:55:22,2024-02-01 16:57:26,2024-01-31 11:38:22,2880,37.0,223,48,291.0,275.0,1508,594,2023-12-12 16:18:14,1.19,556430.0,5152.0,23.0,This is the official development repository for BCFtools. See installation instructions and other documentation here..,54.0,23,1,,,
9,biod/sambamba,biod/sambamba,bam-related,True,https://github.com/biod/sambamba,https://github.com/biod/sambamba,GPL-2.0,2012-04-28 13:46:53,2023-08-21 10:24:16,2023-08-21 10:24:15,1156,,96,28,60.0,29.0,424,543,2023-08-16 09:16:34,1.0.1,140821.0,1135.0,44.0,Tools for working with SAM/BAM data.,29.0,20,2,,,
