,name,github_id,category,show,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,projectrank_placing,trending,dependent_project_count,github_dependent_project_count
0,google/deepvariant,google/deepvariant,variant-calling,True,https://github.com/google/deepvariant,https://github.com/google/deepvariant,BSD-3-Clause,2017-11-23 01:56:22,2024-03-19 19:20:10,2024-03-18 19:51:35,2374,14.0,686,159,61.0,8.0,748,3084,2024-03-19 19:20:10,1.6.1,4712.0,61.0,21.0,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA..,30.0,25,1,,,
1,OpenGene/fastp,OpenGene/fastp,fastq-qc,True,https://github.com/OpenGene/fastp,https://github.com/OpenGene/fastp,MIT,2017-10-31 04:36:58,2024-04-07 08:16:11,2024-04-07 08:16:11,448,4.0,327,50,61.0,322.0,176,1779,2023-05-30 11:53:09,0.23.4,,,41.0,An ultra-fast all-in-one FASTQ preprocessor (QC/adapters/trimming/filtering/splitting/merging...).,27.0,20,1,,,
2,broadinstitute/gatk,broadinstitute/gatk,variant-calling,True,https://github.com/broadinstitute/gatk,https://github.com/broadinstitute/gatk,,2014-12-02 20:50:36,2024-05-09 13:44:17,2024-05-06 18:24:15,4666,22.0,566,156,4309.0,1186.0,3316,1606,2023-12-13 22:53:56,4.5.0.0,605898.0,7299.0,50.0,Official code repository for GATK versions 4 and up.,129.0,25,1,,,
3,samtools/samtools,samtools/samtools,bam-related,True,https://github.com/samtools/samtools,https://github.com/samtools/samtools,,2012-03-09 02:49:58,2024-05-09 08:10:57,2024-05-07 14:51:05,2673,32.0,553,100,804.0,169.0,1056,1555,2024-04-15 15:22:18,1.20,1491184.0,13434.0,25.0,Tools (written in C using htslib) for manipulating next-generation sequencing data.,94.0,24,1,,,
4,lh3/bwa,lh3/bwa,read-alignment,True,https://github.com/lh3/bwa,https://github.com/lh3/bwa,GPL-3.0,2011-01-14 01:36:33,2024-04-15 02:54:32,2024-04-15 02:53:32,968,1.0,513,107,126.0,188.0,105,1454,2024-04-15 02:54:32,0.7.18,129759.0,1310.0,5.0,Burrow-Wheeler Aligner for short-read alignment (see minimap2 for long-read alignment).,33.0,21,1,,,
5,arq5x/bedtools2,arq5x/bedtools2,bed-related,True,https://github.com/arq5x/bedtools2,https://github.com/arq5x/bedtools2,MIT,2013-12-09 21:18:03,2024-04-25 09:20:53,2024-04-14 18:17:42,2142,3.0,280,58,268.0,219.0,603,901,2023-11-07 23:37:36,2.31.1,1006186.0,8049.0,23.0,bedtools - the swiss army knife for genome arithmetic.,94.0,23,1,,,
6,bwa-mem2/bwa-mem2,bwa-mem2/bwa-mem2,read-alignment,True,https://github.com/bwa-mem2/bwa-mem2,https://github.com/bwa-mem2/bwa-mem2,,2019-02-26 15:00:44,2024-05-08 18:49:52,2024-05-08 18:49:51,240,3.0,88,35,52.0,79.0,126,682,2021-03-17 06:13:06,2.2.1,29253.0,487.0,6.0,The next version of bwa-mem.,13.0,16,3,1.0,,
7,brentp/mosdepth,brentp/mosdepth,bam-related,True,https://github.com/brentp/mosdepth,https://github.com/brentp/mosdepth,MIT,2017-08-24 16:32:11,2024-04-17 10:08:25,2024-04-17 10:08:23,230,8.0,100,23,25.0,55.0,152,657,2024-04-17 09:58:19,0.3.8,317321.0,3917.0,27.0,"fast BAM/CRAM depth calculation for WGS, exome, or targeted sequencing.",17.0,21,2,,,
8,samtools/bcftools,samtools/bcftools,vcf-related,True,https://github.com/samtools/bcftools,https://github.com/samtools/bcftools,,2013-07-12 12:55:22,2024-05-05 17:58:45,2024-05-05 17:54:19,2939,50.0,230,48,300.0,282.0,1577,620,2024-04-15 15:22:35,1.20,605538.0,5455.0,24.0,This is the official development repository for BCFtools. See installation instructions and other documentation here..,54.0,24,1,,,
9,biod/sambamba,biod/sambamba,bam-related,True,https://github.com/biod/sambamba,https://github.com/biod/sambamba,GPL-2.0,2012-04-28 13:46:53,2023-08-21 10:24:16,2023-08-21 10:24:15,1156,,98,27,60.0,30.0,424,554,2023-08-16 09:16:34,1.0.1,143031.0,1126.0,44.0,Tools for working with SAM/BAM data.,29.0,20,3,,,
10,etal/cnvkit,etal/cnvkit,cnv-calling,True,https://github.com/etal/cnvkit,https://github.com/etal/cnvkit,,2014-07-07 20:12:27,2024-04-19 05:13:19,2024-04-12 21:45:07,1762,22.0,151,32,112.0,286.0,444,472,2024-04-13 16:43:31,0.9.11,,,42.0,Copy number variant detection from targeted DNA sequencing.,37.0,22,1,,28.0,28.0
11,Ensembl/ensembl-vep,Ensembl/ensembl-vep,variant-annotation,True,https://github.com/Ensembl/ensembl-vep,https://github.com/Ensembl/ensembl-vep,Apache-2.0,2016-04-05 12:08:24,2024-05-09 16:00:16,2024-01-17 13:25:24,2512,,149,30,640.0,104.0,925,427,2024-01-11 16:24:13,release/111.0,,,66.0,The Ensembl Variant Effect Predictor predicts the functional effects of genomic variants.,45.0,20,1,1.0,,
12,Illumina/manta,Illumina/manta,sv-calling,True,https://github.com/Illumina/manta,https://github.com/Illumina/manta,GPL-3.0,2013-05-30 19:33:47,2022-12-21 13:34:23,2019-07-17 18:40:08,2631,,150,41,9.0,128.0,174,388,2019-07-17 18:30:16,1.5.1,43227.0,340.0,54.0,Structural variant and indel caller for mapped sequencing data.,24.0,20,1,,,
13,Illumina/strelka,Illumina/strelka,variant-calling,True,https://github.com/Illumina/strelka,https://github.com/Illumina/strelka,GPL-3.0,2016-10-17 23:30:24,2021-12-29 17:03:24,2019-02-06 00:41:27,3315,,102,29,4.0,127.0,110,350,2018-11-08 00:50:05,2.9.10,35661.0,391.0,18.0,Strelka2 germline and somatic small variant caller.,32.0,18,3,,,
14,brentp/somalier,brentp/somalier,relationship,True,https://github.com/brentp/somalier,https://github.com/brentp/somalier,MIT,2018-08-07 14:52:04,2024-02-02 15:57:59,2024-02-02 15:57:56,277,,33,11,12.0,48.0,74,254,2023-09-20 09:05:10,0.2.19,14027.0,203.0,27.0,fast sample-swap and relatedness checks on BAMs/CRAMs/VCFs/GVCFs... like damn that is one smart wine guy.,8.0,16,1,,,
15,pcingola/SnpEff,pcingola/SnpEff,variant-annotation,True,https://github.com/pcingola/SnpEff,https://github.com/pcingola/SnpEff,,2014-01-31 22:22:33,2024-05-06 19:53:19,2024-04-09 16:21:19,2643,8.0,70,25,52.0,34.0,451,230,,,,,,,21.0,14,3,,,
16,GregoryFaust/samblaster,GregoryFaust/samblaster,bam-related,True,https://github.com/GregoryFaust/samblaster,https://github.com/GregoryFaust/samblaster,MIT,2014-02-11 18:27:47,2021-08-11 23:01:14,2020-06-04 16:29:03,88,,29,19,9.0,13.0,36,211,2020-06-04 16:29:22,.0.1.26,44664.0,366.0,14.0,samblaster: a tool to mark duplicates and extract discordant and split reads from sam files.,5.0,14,3,,,
