,name,github_id,category,show,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,projectrank_placing,trending,recent_commit_count,dependent_project_count,github_dependent_project_count
0,google/deepvariant,google/deepvariant,variant-calling,True,https://github.com/google/deepvariant,https://github.com/google/deepvariant,BSD-3-Clause,2017-11-23 01:56:22,2024-03-19 19:20:10,2024-03-18 19:51:35,2374,690,159,61.0,7.0,765,3114,2024-03-19 19:20:10,1.6.1,4718.0,60.0,21.0,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA..,30.0,23,3,-2.0,,,
1,OpenGene/fastp,OpenGene/fastp,fastq-qc,True,https://github.com/OpenGene/fastp,https://github.com/OpenGene/fastp,MIT,2017-10-31 04:36:58,2024-04-07 08:16:11,2024-04-07 08:16:11,448,331,50,61.0,330.0,176,1811,2023-05-30 11:53:09,0.23.4,,,41.0,An ultra-fast all-in-one FASTQ preprocessor (QC/adapters/trimming/filtering/splitting/merging...).,27.0,20,1,,4.0,,
2,broadinstitute/gatk,broadinstitute/gatk,variant-calling,True,https://github.com/broadinstitute/gatk,https://github.com/broadinstitute/gatk,,2014-12-02 20:50:36,2024-06-21 20:41:15,2024-06-20 18:43:18,4676,571,156,4357.0,1192.0,3324,1629,2023-12-13 22:53:56,4.5.0.0,616471.0,7338.0,50.0,Official code repository for GATK versions 4 and up.,130.0,24,1,-1.0,19.0,,
3,samtools/samtools,samtools/samtools,bam-related,True,https://github.com/samtools/samtools,https://github.com/samtools/samtools,,2012-03-09 02:49:58,2024-06-20 08:50:06,2024-06-11 11:32:40,2692,554,100,810.0,170.0,1072,1574,2024-04-15 15:22:18,1.20,1524197.0,13608.0,25.0,Tools (written in C using htslib) for manipulating next-generation sequencing data.,96.0,24,1,,39.0,,
4,lh3/bwa,lh3/bwa,read-alignment,True,https://github.com/lh3/bwa,https://github.com/lh3/bwa,GPL-3.0,2011-01-14 01:36:33,2024-06-20 06:36:48,2024-04-15 02:53:32,968,517,107,127.0,188.0,106,1467,2024-04-15 02:54:32,0.7.18,131666.0,1316.0,5.0,Burrow-Wheeler Aligner for short-read alignment (see minimap2 for long-read alignment).,33.0,21,1,,1.0,,
5,arq5x/bedtools2,arq5x/bedtools2,bed-related,True,https://github.com/arq5x/bedtools2,https://github.com/arq5x/bedtools2,MIT,2013-12-09 21:18:03,2024-06-14 10:21:58,2024-04-14 18:17:42,2142,282,58,271.0,222.0,603,914,2023-11-07 23:37:36,2.31.1,1020020.0,8095.0,23.0,bedtools - the swiss army knife for genome arithmetic.,94.0,22,1,-1.0,1.0,,
6,bwa-mem2/bwa-mem2,bwa-mem2/bwa-mem2,read-alignment,True,https://github.com/bwa-mem2/bwa-mem2,https://github.com/bwa-mem2/bwa-mem2,,2019-02-26 15:00:44,2024-05-08 18:49:52,2024-05-08 18:49:51,240,91,35,52.0,83.0,126,694,2021-03-17 06:13:06,2.2.1,30191.0,494.0,6.0,The next version of bwa-mem.,13.0,16,3,,3.0,,
7,brentp/mosdepth,brentp/mosdepth,bam-related,True,https://github.com/brentp/mosdepth,https://github.com/brentp/mosdepth,MIT,2017-08-24 16:32:11,2024-04-17 10:08:25,2024-04-17 10:08:23,230,99,23,25.0,56.0,153,669,2024-04-17 09:58:19,0.3.8,322260.0,3930.0,27.0,"fast BAM/CRAM depth calculation for WGS, exome, or targeted sequencing.",17.0,21,2,,6.0,,
8,samtools/bcftools,samtools/bcftools,vcf-related,True,https://github.com/samtools/bcftools,https://github.com/samtools/bcftools,,2013-07-12 12:55:22,2024-06-07 13:13:17,2024-06-07 13:12:47,2958,233,49,302.0,282.0,1606,630,2024-04-15 15:22:35,1.20,620178.0,5537.0,24.0,This is the official development repository for BCFtools. See installation instructions and other documentation here..,55.0,24,1,,51.0,,
9,biod/sambamba,biod/sambamba,bam-related,True,https://github.com/biod/sambamba,https://github.com/biod/sambamba,GPL-2.0,2012-04-28 13:46:53,2023-08-21 10:24:16,2023-08-21 10:24:15,1156,98,27,60.0,31.0,424,555,2023-08-16 09:16:34,1.0.1,144050.0,1125.0,44.0,Tools for working with SAM/BAM data.,29.0,20,3,,,,
10,etal/cnvkit,etal/cnvkit,cnv-calling,True,https://github.com/etal/cnvkit,https://github.com/etal/cnvkit,,2014-07-07 20:12:27,2024-06-18 00:25:29,2024-04-12 21:45:07,1762,153,32,113.0,294.0,444,500,2024-04-13 16:43:31,0.9.11,,,42.0,Copy number variant detection from targeted DNA sequencing.,37.0,22,1,,20.0,30.0,30.0
11,Ensembl/ensembl-vep,Ensembl/ensembl-vep,variant-annotation,True,https://github.com/Ensembl/ensembl-vep,https://github.com/Ensembl/ensembl-vep,Apache-2.0,2016-04-05 12:08:24,2024-06-20 16:01:07,2024-04-08 14:39:10,2597,150,30,650.0,107.0,947,437,2024-05-16 11:00:24,release/112.0,,,67.0,The Ensembl Variant Effect Predictor predicts the functional effects of genomic variants.,45.0,20,1,-1.0,7.0,,
12,Illumina/manta,Illumina/manta,sv-calling,True,https://github.com/Illumina/manta,https://github.com/Illumina/manta,GPL-3.0,2013-05-30 19:33:47,2022-12-21 13:34:23,2019-07-17 18:40:08,2631,149,40,9.0,128.0,174,390,2019-07-17 18:30:16,1.5.1,43766.0,341.0,54.0,Structural variant and indel caller for mapped sequencing data.,24.0,20,1,,,,
13,Illumina/strelka,Illumina/strelka,variant-calling,True,https://github.com/Illumina/strelka,https://github.com/Illumina/strelka,GPL-3.0,2016-10-17 23:30:24,2021-12-29 17:03:24,2019-02-06 00:41:27,3315,102,28,4.0,127.0,110,350,2018-11-08 00:50:05,2.9.10,36302.0,394.0,18.0,Strelka2 germline and somatic small variant caller.,32.0,18,3,,,,
14,brentp/somalier,brentp/somalier,relationship,True,https://github.com/brentp/somalier,https://github.com/brentp/somalier,MIT,2018-08-07 14:52:04,2024-02-02 15:57:59,2024-02-02 15:57:56,277,33,10,12.0,49.0,75,254,2023-09-20 09:05:10,0.2.19,14159.0,202.0,27.0,fast sample-swap and relatedness checks on BAMs/CRAMs/VCFs/GVCFs... like damn that is one smart wine guy.,8.0,16,1,,,,
15,pcingola/SnpEff,pcingola/SnpEff,variant-annotation,True,https://github.com/pcingola/SnpEff,https://github.com/pcingola/SnpEff,,2014-01-31 22:22:33,2024-06-19 12:00:20,2024-06-17 20:02:59,2675,72,24,56.0,36.0,452,235,,,,,,,22.0,15,3,1.0,15.0,,
16,WGLab/doc-ANNOVAR,WGLab/doc-ANNOVAR,variant-annotation,True,https://github.com/WGLab/doc-ANNOVAR,https://github.com/WGLab/doc-ANNOVAR,,2015-03-03 17:39:50,2024-06-23 14:01:57,2024-06-23 14:01:56,733,323,26,11.0,113.0,123,217,,,,,,Documentation for the ANNOVAR software.,8.0,14,3,1.0,12.0,,
17,GregoryFaust/samblaster,GregoryFaust/samblaster,bam-related,True,https://github.com/GregoryFaust/samblaster,https://github.com/GregoryFaust/samblaster,MIT,2014-02-11 18:27:47,2021-08-11 23:01:14,2020-06-04 16:29:03,88,29,19,9.0,13.0,36,213,2020-06-04 16:29:22,.0.1.26,44993.0,365.0,14.0,samblaster: a tool to mark duplicates and extract discordant and split reads from sam files.,5.0,14,3,,,,
18,lgmgeo/AnnotSV,lgmgeo/AnnotSV,variant-annotation,True,https://github.com/lgmgeo/AnnotSV,https://github.com/lgmgeo/AnnotSV,GPL-3.0,2019-07-09 11:05:44,2024-05-14 08:29:12,2024-05-14 08:23:07,247,33,10,8.0,17.0,214,198,2024-05-14 08:33:33,3.4.2,,,31.0,Annotation and Ranking of Structural Variation.,5.0,17,2,,10.0,,
19,FRED-2/OptiType,FRED-2/OptiType,gene-typing,True,https://github.com/FRED-2/OptiType,https://github.com/FRED-2/OptiType,BSD-3-Clause,2014-05-07 12:08:32,2024-03-05 16:50:13,2020-09-15 10:27:36,136,71,15,33.0,39.0,75,178,2020-09-15 10:42:30,1.3.5,,,7.0,Precision HLA typing from next-generation sequencing data.,15.0,13,2,-1.0,,,
20,Illumina/ExpansionHunter,Illumina/ExpansionHunter,gene-typing,True,https://github.com/Illumina/ExpansionHunter,https://github.com/Illumina/ExpansionHunter,,2016-11-10 19:53:15,2024-01-30 19:40:13,2024-01-30 19:40:13,240,53,30,82.0,69.0,43,173,2021-08-20 15:13:54,5.0.0,10325.0,114.0,23.0,A tool for estimating repeat sizes.,17.0,14,1,,,,
21,lh3/bedtk,lh3/bedtk,bed-related,True,https://github.com/lh3/bedtk,https://github.com/lh3/bedtk,MIT,2019-10-02 18:29:37,2024-05-28 21:48:28,2024-05-28 21:48:21,31,15,8,2.0,,1,132,,,,,,A simple toolset for BED files (warning: CLI may change before bedtk becomes stable).,3.0,7,3,,1.0,,
